metric,timestamp,value
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:49:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:50:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:51:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:52:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:53:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:54:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:55:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:56:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:57:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:58:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 22:59:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:00:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:01:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:02:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:03:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:04:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:05:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:06:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:07:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:08:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:09:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:10:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:11:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:12:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:13:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:14:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:15:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:16:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:17:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:18:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:19:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:20:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:21:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:22:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:23:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:24:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:25:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:26:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:27:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:28:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:29:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:30:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:31:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:32:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:33:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:34:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:35:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:36:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:37:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:38:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:39:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:40:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:41:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:42:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:43:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:44:19,158
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:45:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:46:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:47:19,159
"{'__name__': 'mqtt_voltage', 'instance': 'mqtt2prometheus:9641', 'job': 'mqtt', 'sensor': 'SENSOR', 'sensor_type': 'tasmota', 'topic': 'tele/345pic08/SENSOR'}",2025-02-22 23:48:19,158
